Accession code	Type	Variety name	Variety code	Color berry skin	Color	Country origin	Gret
1718Mtp1	CEPA	Obeidi	1718	B	White	LBN	1
2400Mtp1	CEPA	Falanghina	2400	B	White	ITA	1
2414Mtp1	CEPA	Trebbiano spoletino	2414	B	White	ITA	1
2511Mtp1	CEPA	Voskeat	2511	B	White	ARM	1
1306Mtp2	CEPA	Grillo	1306	B	White	ITA	1
1675Mtp1	CEPA	Hebron blanc	1675	B	White	CYP	1
1579Mtp1	CEPA	Steinschiller weisser	1579	B	White	SCG	1
2287Mtp1	CEPA	Verdeca = Lagorthi	390	B	White	GRC	1
294Mtp6	CEPA	Orbois	294	B	White	FRA	1
2657Mtp1	CEPA	Soïaki	2657	B	White	UZB	1
2902Mtp1	CEPA	Gantziandan	2902	B	White	ARM	1
1654Mtp1	CEPA	Posip bijeli	1654	B	White	HRV	1
2003Mtp1	CEPA	Azizi el Jaïa	2003	B	White	MAR	1
0Mtp651	CEPA	Lumassina	3312	B	White	ITA	1
156Mtp1	CEPA	Bakhtiori	156	B	White	UZB	1
257Mtp16	CEPA	Savagnin = Traminer	257	B	White	nd	1
403Mtp1	CEPA	Aouillat	403	B	White	FRA	1
44Mtp1	CEPA	Alba imputotato	44	B	White	ROU	1
2066Mtp1	CEPA	Humagne blanc	361	B	White	CHE	1
649Mtp4	CEPA	Madeleine Salomon = Agostenga blanc	649	B	White	ITA	1
1478Mtp1	CEPA	Alarije = Subirat Parent	1449	B	White	ESP	1
0Mtp428	CEPA	Golodan	3600	B	White	AFG	1
1972Mtp1	CEPA	Garrido macho	1972	B	White	ESP	1
0Mtp1591	CEPA	Merbein seedless	3620	B	White	AUS	1
210Mtp1	CEPA	Gouais blanc = Heunisch weiss	211	B	White	nd	1
1666Mtp1	CEPA	Dimiat	1666	B	White	BGR	1
1815Mtp1	CEPA	Tachtas	1815	B	White	GRC	1
2897Mtp1	CEPA	Ak ouzioum tagapskii	2897	B	White	RUS	1
1569Mtp1	CEPA	Orangetraube	1569	B	White	DEU	1
0Mtp1406	CEPA	Sublima seedless	3613	B	White	ARG	1
2373Mtp1	CEPA	Greco bianco	2373	B	White	ITA	1
0Mtp1278	CEPA	Big Muscat seedless = CG 235-023 = XE 9	3608	B	White	ARG	1
1844Mtp2	CEPA	Malvasia istriana	1844	B	White	HRV	1
727Mtp1	CEPA	Nehelescol	727	B	White	ISR	1
1538Mtp1	CEPA	Loureiro	1538	B	White	PRT	1
1367Mtp1	CEPA	Teta de Vaca	1367	B	White	ESP	1
1600Mtp2	CEPA	Basilikumtraube	1600	B	White	DEU	1
2013Mtp1	CEPA	Khalt	2013	B	White	TUN	1
1566Mtp2	CEPA	Sultanine	1566	B	White	GRC	1
1247Mtp1	CEPA	Baresana = Korithi aspro	1766	B	White	ITA	1
1227Mtp2	CEPA	Khoussaïné blanc	1227	B	White	UZB	1
1360Mtp1	CEPA	Merseguera	1360	B	White	ESP	1
2340Mtp1	CEPA	Peygamber üzümü	2340	B	White	TUR	1
2244Mtp2	CEPA	Goher	2244	B	White	HUN	1
2667Mtp1	CEPA	Tzitzka	2667	B	White	GEO	1
556Mtp2	CEPA	Katta-kourgan	556	B	White	UZB	1
0Mtp1156	CEPA	Urmi dinka	3456	B	White	HUN	1
2472Mtp1	CEPA	Galbena uriasa	2472	B	White	ROU	1
443Mtp19	CEPA	Mauzac	443	B	White	FRA	1
0Mtp263	CEPA	Coda di volpe bianca	1261	B	White	ITA	1
46Mtp6	CEPA	Macabeu	46	B	White	ESP	1
0Mtp1024	CEPA	Santanera	3582	B	White	ESP	1
2991Mtp1	CEPA	Achlamiche	2991	B	White	SYR	1
2136Mtp2	CEPA	Galbena de Odobesti	2136	B	White	ROU	1
2360Mtp1	CEPA	Vernaccia di San Gimignano	2360	B	White	ITA	1
735Mtp1	CEPA	Dabouki	735	B	White	ISR	1
446Mtp3	CEPA	Len de l'El	446	B	White	FRA	1
0Mtp1160	CEPA	Uva di Trojanero	3338	B	White	ITA	1
397Mtp15	CEPA	Meslier Saint-François	397	B	White	FRA	1
0Mtp375	CEPA	Fiesta	3067	B	White	USA	1
2243Mtp4	CEPA	Crimposie	2243	B	White	ROU	1
1365Mtp5	CEPA	Ohanes	1365	B	White	ESP	1
1956Mtp1	CEPA	Rassegui	1956	B	White	TUN	1
577Mtp1	CEPA	Moscato di Terracina	577	B	White	ITA	1
280Mtp3	CEPA	Muscat Ottonel	280	B	White	FRA	1
646Mtp4	CEPA	Lignan	646	B	White	ITA	1
791Mtp1	CEPA	Chaptal	791	B	White	FRA	1
2997Mtp1	CEPA	Bayadi de Syrie	2997	B	White	SYR	1
1536Mtp4	CEPA	Diagalves	1536	B	White	PRT	1
1898Mtp1	CEPA	Agourane	1898	B	White	DZA	1
2707Mtp1	CEPA	Kanzler = Alzey 3983	2707	B	White	DEU	1
140Mtp4	CEPA	Raisaine	140	B	White	FRA	1
2391Mtp1	CEPA	Arneis	2391	B	White	ITA	1
2165Mtp1	CEPA	Louali	2165	B	White	DZA	1
2498Mtp1	CEPA	Rabigato du Douro	2498	B	White	PRT	1
167Mtp12	CEPA	Altesse	167	B	White	FRA	1
0Mtp780	CEPA	Nassau	3642	B	White	URS	1
2342Mtp1	CEPA	Albaranzeuli bianco	2342	B	White	ITA	1
1264Mtp1	CEPA	Garganega = Grecanico	1264	B	White	ITA	1
1332Mtp2	CEPA	Asprinio	1332	B	White	ITA	1
2375Mtp2	CEPA	Grechetto	2375	B	White	ITA	1
274Mtp5	CEPA	Riesling	274	B	White	FRA	1
0Mtp1005	CEPA	Sao Mamede	3591	B	White	PRT	1
227Mtp1	CEPA	Roublot	227	B	White	FRA	1
45Mtp6	CEPA	Gibi = Hebén	45	B	White	ESP	1
1781Mtp1	CEPA	Savvatiano	1781	B	White	GRC	1
1252Mtp2	CEPA	Bermestia bianca	1252	B	White	ITA	1
1308Mtp3	CEPA	Piccolit	1308	B	White	ITA	1
2543Mtp1	CEPA	Maingonnat 3 L 1	2543	B	White	TUN	1
413Mtp1	CEPA	Courbu	413	B	White	FRA	1
1736Mtp5	CEPA	Schiradzouli = Tebrizi	1736	B	White	IRN	1
219Mtp2	CEPA	Arbane	219	B	White	FRA	1
2890Mtp1	CEPA	Baserri	2890	B	White	FRA	1
636Mtp1	CEPA	Amessasse	1892	B	White	DZA	1
1069Mtp1	CEPA	Perle de Csaba	1069	B	White	HUN	1
114Mtp4	CEPA	Pagadebiti = Rollo	114	B	White	FRA	1
1570Mtp1	CEPA	Lisztes feher	2808	B	White	HUN	1
2681Mtp1	CEPA	Sary pandass	2656	B	White	UKR	1
2638Mtp1	CEPA	Krakhouna	2638	B	White	GEO	1
585Mtp62	CEPA	Chasselas	585	B	White	FRA	1
2148Mtp1	CEPA	Königstraube	2148	B	White	TCH	1
285Mtp3	CEPA	Velteliner vert	285	B	White	AUT	1
0Mtp1190	CEPA	Victoria	3209	B	White	ROU	1
1744Mtp1	CEPA	Chahnani	1744	B	White	LBN	1
601Mtp1	CEPA	Aromriesling	601	B	White	FRA	1
1341Mtp2	CEPA	Bombino bianco	1341	B	White	ITA	1
2174Mtp1	CEPA	Pozsonyi feher	2174	B	White	HUN	1
270Mtp6	CEPA	Sylvaner	270	B	White	AUT	1
555Mtp2	CEPA	Muscat à petits grains	555	B	White	GRC	1
121Mtp4	CEPA	Genovèse	121	B	White	FRA	1
192Mtp1	CEPA	Chouchillon	192	B	White	FRA	1
2958Mtp7	CEPA	Ora	2958	B	White	FRA	1
2635Mtp1	CEPA	Koz ouzioum	2635	B	White	RUS	1
1448Mtp1	CEPA	Irsay Oliver	1448	B	White	HUN	1
789Mtp1	CEPA	Genk Uzum	789	B	White	TUR	1
1799Mtp1	CEPA	Asprouda de Santorini	1799	B	White	GRC	1
0Mtp1548	CEPA	Mai 3 = Plovdiv II-6-16	3409	B	White	BGR	1
2087Mtp1	CEPA	Askéri	2280	B	White	ARM	1
409Mtp2	CEPA	Douradinha	409	B	White	PRT	1
0Mtp318	CEPA	Doppel Augen	3151	B	White	AZE	1
1371Mtp2	CEPA	Malvar	1371	B	White	ESP	1
936Mtp3	CEPA	Sultana moscata = Pirovano 75	936	B	White	ITA	1
0Mtp567	CEPA	Kapistroni tétri hermaphrodite (Coll. Kichinev)	3242	B	White	nd	1
25Mtp1	CEPA	Furmint	25	B	White	HUN	1
2471Mtp1	CEPA	Tsitsa Kaprei	2471	B	White	ROU	1
1273Mtp1	CEPA	Greco di Tufo	1273	B	White	ITA	1
2916Mtp1	CEPA	Matilde	2916	B	White	ITA	1
398Mtp1	CEPA	Muscat d'Istamboul	398	B	White	TUN	1
3002Mtp1	CEPA	Athiri lefko (Kotinis)	3002	B	White	GRC	1
2795Mtp1	CEPA	Datal	2795	B	White	FRA	1
2709Mtp1	CEPA	Opsimo Edessis	1769	B	White	GRC	1
